storefront,month,level,Impression,Clicks,GMV,Expense,ROAS
55055,1,campaign,485257,15971,242602.46,34572.44,7.02
55055,1,object,485257,15971,242602.46,34572.44,7.02
55055,2,campaign,375025,15859,212525.96,34902.75,6.09
55055,2,object,375025,15859,212525.96,34902.75,6.09
55055,3,campaign,437703,17086,297273.24,38602.17,7.70
55055,3,object,437703,17086,297273.24,38602.17,7.70
55055,4,campaign,424083,13006,134912.35,33802.99,3.99
55055,4,object,424083,13006,134912.35,33802.99,3.99
55055,5,campaign,382430,13458,168959.92,29545.60,5.72
55055,5,object,382430,13458,168959.92,29545.60,5.72
55055,6,campaign,374344,15746,205704.16,33751.51,6.09
55055,6,object,374344,15746,205704.16,33751.51,6.09
55055,7,campaign,365293,12896,107973.62,25666.67,4.21
55055,7,object,365293,12896,107973.62,25666.67,4.21
